"Chandrasekaran, P.O., Aswathy, A., James, K., Kala, K., Ragi, M.T. and Manoj, N., 2021. A molecular chameleon: Fluorometric to Pb2+, fluorescent ratiometric to Hg2+ and colorimetric to Ag+ ions. Journal of Photochemistry and Photobiology A: Chemistry, 407, p.113050."
"Padmanabhan, N.T., Ganguly, P., Pillai, S.C. and John, H., 2020. Morphology engineered spatial charge separation in superhydrophilic TiO2/graphene hybrids for hydrogen production. Materials Today Energy, 17, p.100447."
"Stanly, S., Jelmy, E.J. and John, H., 2020. Studies on modified montmorillonite clay and its PVA nanohybrid for water purification. Journal of Polymers and the Environment, 28(9), pp.2433-2443."
"Padmanabhan, N.T. and John, H., 2020. Titanium dioxide based self-cleaning smart surfaces: A short review. Journal of Environmental Chemical Engineering, 8(5), p.104211."
"Rigi, V.C., Jayaraj, M.K. and Saji, K.J., 2020. Envisaging radio frequency magnetron sputtering as an efficient method for large scale deposition of homogeneous two dimensional MoS2. Applied Surface Science, 529, p.147158."
"Sreeja, S., Parameshwar, R., Varma, P.H. and Sailaja, G.S., 2021. Hierarchically Porous Osteoinductive Poly (hydroxyethyl methacrylate-co-methyl methacrylate) Scaffold with Sustained Doxorubicin Delivery for Consolidated Osteosarcoma Treatment and Bone Defect Repair. ACS Biomaterials Science & Engineering, 7(2), pp.701-717."
"Sadik, M.N. and De, S., 2020. S2N2–A 6π‐Electron Ligand with Tunable σ‐and π‐Donor‐Acceptor Property. ChemistrySelect, 5(39), pp.12176-12189."
"Cholasseri, R. and De, S., 2020. Dual-Site Binding of Quaternary Ammonium Ions as Internal K+-Ion Channel Blockers: Nonclassical (C–H··· O) H Bonding vs Dispersive (C–H··· H–C) Interaction. The Journal of Physical Chemistry B, 125(1), pp.86-100."
"Joseph, M. and Haridas, S., 2020. Recent progresses in porphyrin assisted hydrogen evolution. International Journal of Hydrogen Energy, 45(21), pp.11954-11975."
"Joseph, N., Illam, K.K.M., Bhat, R.V., Veetil, N.E., Kaipamangalath, A., Varma, M.R. and Thomas, S., 2020. Cryogenic magnetocaloric effect of cobalt hydroxide nanoparticles embedded in a nonmagnetic polymer matrix. Journal of Physics and Chemistry of Solids, 145, p.109527."
"Sreeram, P.R., Ganesan, V., Thomas, S. and Anantharaman, M.R., 2020. Enhanced thermoelectric performance of nanostructured manganese telluride via antimony doping. Journal of Alloys and Compounds, 836, p.155374."
"Praveena, M.G., Kumar, A.S., Kala, M.S., Bhowmik, R.N., Nair, S.S., Thomas, S. and Anantharaman, M.R., 2020. Interface assisted strain-induced magnetoelectric coupling in core-shell nanostructures of CoFe2O4@ ZnO. Journal of Magnetism and Magnetic Materials, 513, p.167252."
"Manu, S., Markose, K.K., Saji, K.J. and Jayaraj, M.K., 2020. Investigation on the improved electrical and optical properties of trivalent boron-doped Cu 2 O thin film and fabrication of Cu 2 O: B/c-Si heterojunction diode. Journal of Materials Science. Materials in Electronics, 31(13), pp.10724-10730."
"Praveen, C.S. and Comas‐Vives, A., 2020. Design of an accurate machine learning algorithm to predict the binding energies of several adsorbates on multiple sites of metal surfaces. ChemCatChem, 12(18), pp.4611-4617."
"Pallikkara, A. and Ramakrishnan, K., 2021. Efficient charge collection of photoanodes and light absorption of photosensitizers: A review. International Journal of Energy Research, 45(2), pp.1425-1448."
"De, S., Sabu, G. and Zacharias, M., 2020. Molecular mechanism of Be 2+-ion binding to HLA-DP2: tetrahedral coordination, conformational changes and multi-ion binding. Physical Chemistry Chemical Physics, 22(2), pp.799-810."
"Sreeram, P.R., Nair, N.M., Dayal, G., Thomas, S. and Anantharaman, M.R., 2021. Ultra-high Seebeck coefficient of nanostructured Sb-substituted PbTe and fabrication of a thermoelectric generator module. Bulletin of Materials Science, 44(1), pp.1-10."
