"Vavachan, Vijoy Kochuveettil, Sherin Joseph, Honey John, and Kachirayil Joseph Saji. ""High-Performance Latex-Compounded Nitrile Rubber for Self-Powered Intelligent Traffic Monitoring with Advanced Signal Conditioning."" ACS Applied Engineering Materials (2024)."
"Soman, Sithara, Kala Ramakrishnan, and Tripti S. Warrier. ""Enhancing Pregnancy Care: Harnessing Label‐Free Immunosensors for Pre‐Eclampsia Detection Using PdNPs/Poly (3, 5‐Diaminobenzoic Acid) Modified Glassy Carbon Electrodes."" ChemistrySelect 9, no. 37 (2024): e202401495."
"Biji, Christy Ann, Jith C. Janardhanan, and Honey John. ""Facile interface engineering of highly stable covalently functionalized graphene oxide-nickel based metal organic framework heterostructures for supercapacitor applications."" Electrochimica Acta 507 (2024): 145158."
"Padmanabhan, Nisha T., Christeena Sabin, H. Unni Krishnan, M. Hrithik, Ushamani Mythili, Madambi K. Jayaraj, and Honey John. ""Analysing the efficacy of TiO2/g-C3N4 nanohybrid electrospun membranes for visible-light photocatalytic water purification."" Chemical Physics Letters 854 (2024): 141547."
"Sunil, Mathew, E. J. Jelmy, Sherin Joseph, and Honey John. ""Exploring the potential of 2D materials in energy harvesting via triboelectric nanogenerators."" In Recent Advances in Materials for Energy Harvesting and Storage, pp. 3-1. Bristol, UK: IOP Publishing, 2024."
"DT Mathew, M Sunil, N Joseph, HK Raj, A Mayeen, N Manoj, P Sagar, and Honey John. “ High-Performance Self-Cleaning Triboelectric Mini Humidity Sensor Enabled by Facet Engineered Titania Nanocrystals Adorned Nylon-6, 6 Electrospun Nanofibers” ACS Applied Engineering Materials 2 (2024): 1845-1856."
"Kumar, Prashant, Gurwinder Singh, Rohan Bahadur, Zhixuan Li, Xiangwei Zhang, C. I. Sathish, Mercy R. Benzigar et al. ""The rise of borophene."" Progress in Materials Science (2024): 101331."
"Mayeen, Anshida, Anjana Santhosh, Noel Joseph, Jiya Jose, Abhirami Manoj, Saju Joseph, Sarita Bhat, and Honey John. ""Flexible, Electrospun Boron Nitride Nanosheets (BNNS)/Hydroxyapatite-PVDF Nanofibers with Superior Piezoelectric/Ferroelectric, Biocompatible Features for Effective Bone Tissue Regeneration."" Journal of Alloys and Compounds (2024): 175111."
"EJ, Jelmy, Rinku Thomas, Ushamani Mythili, and Honey John. ""Selective adsorption of anionic dyes and carbon dioxide using uncarbonized PVA aerogels incorporated with GO/PANI hybrids."" Adsorption (2024): 1-18."
"Radhakrishnan, Sithara, Nisha T. Padmanabhan, Ann Jini Mathews, Youhong Tang, T. Santhanakrishnan, and Honey John. ""Surfactant-Assisted Restructuring of Boron to Borophene: Implications for Enhanced Hydrogen Evolution."" ACS Applied Nano Materials (2024)."
"Joseph, Sicily R., Jith C. Janardhanan, Nisha T. Padmanabhan, Honey John, and Ushamani Mythili. ""Controlled Reaction Dynamics of Cellulose: Revealing the Dual Morphology Nanocrystals."" Materials Today Sustainability (2024): 100860."
